year,documentCount,averageFileSize,averageSideLength,jpgCount,pngCount
2020,8490,1891730.3459363957,1806.3963557947363,5842,2647
2021,50484,2157343.3764955234,1929.5494749330078,32029,18455
2022,114306,2594477.418158277,2184.457767828781,74635,39669
2023,196609,2810148.262526131,2283.9234692206232,126762,69841
2024,77772,3544221.9881705497,2565.697495994115,49779,27918
