c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.05835741,0.05832397,0.95365897,0.02447129,0.02445546,0.95107325,0.05758082,0.05756539,0.88485379,0.00429154,0.00428662,0.99142184,0.00371678,0.00371252,0.99257069
0.05473511,0.05476815,0.9587642,0.02178457,0.02179941,0.95641601,0.05168463,0.05169915,0.89661622,0.00368271,0.00368715,0.99263014,0.00323806,0.00324197,0.99351997
0.0512375,0.05123391,0.96347311,0.01932125,0.01931973,0.96135902,0.04623135,0.04622985,0.9075388,0.00315444,0.003154,0.99369157,0.00281221,0.00281181,0.99437598
0.04782444,0.04780127,0.96778449,0.01705625,0.01704694,0.96589681,0.0411976,0.04118844,0.91761396,0.00269172,0.00268911,0.99461918,0.00243012,0.00242776,0.99514212
0.04453627,0.04446178,0.97170295,0.01499875,0.01497051,0.97003074,0.03659385,0.03656603,0.92684012,0.00229079,0.00228314,0.99542607,0.00209191,0.00208492,0.99582317
0.04129893,0.04132636,0.97524121,0.01310979,0.01311959,0.97377061,0.03237079,0.03238046,0.93524874,0.00193667,0.00193925,0.99612408,0.00178689,0.00178926,0.99642385
0.03825062,0.0382858,0.97841277,0.01143006,0.01144187,0.97712807,0.02856403,0.0285757,0.94286027,0.00163617,0.00163919,0.99672464,0.00152372,0.00152653,0.99694975
0.03539349,0.03535895,0.9812386,0.00994392,0.00993304,0.98012304,0.02514723,0.02513646,0.94971631,0.00138189,0.00137919,0.99723892,0.00129769,0.00129516,0.99740716
0.03264833,0.03260951,0.98374642,0.0086138,0.00860233,0.98278388,0.02207849,0.02206712,0.95585439,0.00116165,0.00115889,0.99767947,0.00109901,0.0010964,0.99780459
0.03007666,0.03004072,0.98595286,0.00744215,0.0074322,0.98512565,0.01933555,0.01932568,0.96133878,0.00097526,0.00097293,0.99805181,0.00092884,0.00092662,0.99814454
0.02763688,0.02763313,0.98789307,0.00640744,0.00640647,0.98718609,0.01689742,0.01689645,0.96620613,0.00081564,0.00081541,0.99836895,0.00078141,0.0007812,0.99843739
0.02537394,0.02537179,0.98958785,0.00550724,0.00550672,0.98898604,0.01474277,0.01474225,0.97051498,0.00068177,0.00068165,0.99863658,0.00065659,0.00065648,0.99868692
0.02331045,0.02324973,0.99106073,0.00473201,0.00471829,0.9905497,0.01284429,0.01283065,0.97432506,0.00057113,0.00056816,0.9988607,0.00055261,0.00054974,0.99889765
0.02130013,0.02130805,0.99234507,0.00404222,0.00404389,0.99191389,0.01116979,0.01117145,0.97765876,0.00047379,0.00047415,0.99905206,0.0004603,0.00046064,0.99907906
0.01948973,0.01948707,0.99345334,0.00345519,0.00345467,0.99309014,0.00970464,0.00970412,0.98059123,0.00039443,0.00039432,0.99921126,0.00038458,0.00038447,0.99923095
0.01780945,0.01781295,0.99440922,0.00294764,0.00294828,0.99410408,0.00842083,0.00842147,0.9831577,0.00032771,0.00032784,0.99934444,0.00032055,0.00032067,0.99935878
0.01626316,0.01626855,0.99523163,0.00251162,0.00251253,0.99497585,0.00729959,0.0073005,0.98539991,0.00027209,0.00027227,0.99945563,0.00026689,0.00026707,0.99946605
0.01484327,0.0148363,0.99593852,0.00213821,0.0021371,0.99572469,0.00632365,0.00632255,0.9873538,0.0002258,0.00022559,0.99954861,0.00022202,0.00022182,0.99955616
0.01353198,0.01353225,0.99654386,0.0018173,0.00181734,0.99636536,0.00547238,0.00547242,0.98905521,0.00018705,0.00018706,0.99962589,0.00018432,0.00018433,0.99963135
0.01233554,0.01232654,0.99706203,0.00154396,0.00154272,0.99691331,0.0047335,0.00473227,0.99053423,0.00015499,0.00015477,0.99969024,0.00015302,0.00015279,0.99969419
0.01124332,0.01122426,0.99750412,0.00131106,0.00130862,0.99738033,0.00409185,0.00408942,0.99181874,0.00012844,0.00012801,0.99974355,0.00012701,0.00012658,0.9997464
0.01022808,0.01022771,0.99788153,0.00111069,0.00111065,0.99777866,0.00353373,0.00353369,0.99293258,0.00010606,0.00010606,0.99978788,0.00010504,0.00010503,0.99978994
0.00931107,0.00931045,0.99820275,0.00094138,0.00094131,0.99811731,0.00305101,0.00305095,0.99389804,8.773e-05,8.772e-05,0.99982455,8.699e-05,8.698e-05,0.99982602
0.00847722,0.00846649,0.99847635,0.00079781,0.00079671,0.99840547,0.00263362,0.00263252,0.99473386,7.26e-05,7.242e-05,0.99985497,7.207e-05,7.189e-05,0.99985604
0.00771106,0.0077042,0.99870884,0.00067529,0.00067464,0.99865007,0.00227169,0.00227104,0.99545727,5.999e-05,5.988e-05,0.99988013,5.961e-05,5.95e-05,0.99988089
0.00701236,0.00701404,0.99890607,0.00057125,0.0005714,0.99885735,0.00195842,0.00195857,0.99608302,4.955e-05,4.957e-05,0.99990087,4.928e-05,4.93e-05,0.99990142
0.00637891,0.00638079,0.99907358,0.00048332,0.00048348,0.9990332,0.00168814,0.00168829,0.99662357,4.096e-05,4.098e-05,0.99991806,4.076e-05,4.079e-05,0.99991845
0.00580525,0.00580487,0.99921548,0.00040901,0.00040898,0.99918201,0.00145473,0.0014547,0.99709058,3.389e-05,3.389e-05,0.99993222,3.375e-05,3.375e-05,0.9999325
0.00527638,0.00528648,0.99933586,0.00034557,0.00034629,0.99930814,0.00125276,0.00125347,0.99749377,2.798e-05,2.808e-05,0.99994394,2.788e-05,2.798e-05,0.99994414
0.00480621,0.00480771,0.99943772,0.00029258,0.00029268,0.99941474,0.00107901,0.00107911,0.99784188,2.32e-05,2.321e-05,0.99995359,2.312e-05,2.314e-05,0.99995374
0.00437474,0.00437668,0.999524,0.00024747,0.00024759,0.99950494,0.00092886,0.00092898,0.99814217,1.921e-05,1.923e-05,0.99996157,1.916e-05,1.917e-05,0.99996167
0.00398676,0.00398419,0.99959692,0.00020952,0.00020938,0.9995811,0.0007995,0.00079935,0.99840115,1.594e-05,1.592e-05,0.99996813,1.591e-05,1.589e-05,0.99996821
0.00363024,0.00363286,0.99965861,0.0001772,0.00017733,0.99964547,0.00068773,0.00068786,0.99862441,1.321e-05,1.323e-05,0.99997355,1.319e-05,1.321e-05,0.99997361
0.00331085,0.00331148,0.99971076,0.00015007,0.0001501,0.99969983,0.00059156,0.00059159,0.99881685,1.099e-05,1.099e-05,0.99997802,1.097e-05,1.097e-05,0.99997806
0.00302131,0.00302082,0.99975484,0.00012714,0.00012712,0.99974574,0.00050869,0.00050867,0.99898263,9.15e-06,9.14e-06,0.99998171,9.13e-06,9.13e-06,0.99998174
