Psi1,Psi2
-0.24805,-0.208701
-0.247977,-0.208773
-0.247905,-0.208846
-0.247833,-0.208918
-0.247762,-0.208989
-0.247691,-0.20906
-0.247621,-0.20913
-0.247551,-0.2092
-0.247482,-0.209269
-0.247413,-0.209338
-0.247345,-0.209406
-0.247277,-0.209474
-0.24721,-0.209542
-0.247143,-0.209608
-0.247077,-0.209675
-0.247011,-0.209741
-0.246946,-0.209806
-0.246881,-0.209871
-0.246816,-0.209936
-0.246752,-0.21
-0.246689,-0.210063
-0.246626,-0.210127
-0.246563,-0.210189
-0.246501,-0.210252
-0.246439,-0.210314
-0.246377,-0.210375
-0.246316,-0.210436
-0.246256,-0.210497
-0.246196,-0.210557
-0.246136,-0.210617
-0.246076,-0.210676
-0.246017,-0.210735
-0.245959,-0.210794
-0.245901,-0.210852
-0.245843,-0.210911
-0.245786,-0.210968
-0.245728,-0.211025
-0.245672,-0.211082
-0.245615,-0.211138
-0.245559,-0.211194
-0.245504,-0.21125
-0.245449,-0.211305
-0.245394,-0.21136
-0.245339,-0.211414
-0.245285,-0.211469
-0.245231,-0.211523
-0.245178,-0.211576
-0.245124,-0.211629
-0.245072,-0.211682
-0.245019,-0.211735
-0.244967,-0.211787
-0.244915,-0.211839
-0.244864,-0.21189
-0.244812,-0.211942
-0.244762,-0.211993
-0.244711,-0.212043
-0.244661,-0.212093
-0.244611,-0.212143
-0.244561,-0.212193
-0.244512,-0.212243
-0.244463,-0.212292
-0.244414,-0.21234
-0.244366,-0.212389
-0.244318,-0.212437
-0.24427,-0.212485
-0.244222,-0.212533
-0.244175,-0.21258
-0.244128,-0.212627
-0.244081,-0.212674
-0.244035,-0.21272
-0.243988,-0.212766
-0.243943,-0.212812
-0.243897,-0.212858
-0.243852,-0.212903
-0.243806,-0.212949
-0.243762,-0.212993
-0.243717,-0.213038
-0.243673,-0.213082
-0.243629,-0.213126
-0.243585,-0.21317
-0.243541,-0.213214
-0.243498,-0.213257
-0.243455,-0.2133
-0.243412,-0.213343
-0.243369,-0.213386
-0.243327,-0.213428
-0.243285,-0.21347
-0.243243,-0.213512
-0.243201,-0.213554
-0.24316,-0.213595
-0.243119,-0.213637
-0.243078,-0.213678
-0.243037,-0.213718
-0.242997,-0.213759
-0.242956,-0.213799
-0.242916,-0.213839
-0.242877,-0.213879
-0.242837,-0.213919
-0.242798,-0.213958
-0.242758,-0.213997
-0.242719,-0.214036
-0.242681,-0.214075
-0.242642,-0.214114
-0.242604,-0.214152
-0.242566,-0.21419
-0.242528,-0.214228
-0.24249,-0.214266
-0.242453,-0.214303
-0.242415,-0.214341
-0.242378,-0.214378
-0.242341,-0.214415
-0.242304,-0.214452
-0.242268,-0.214488
-0.242231,-0.214525
-0.242195,-0.214561
-0.242159,-0.214597
-0.242124,-0.214632
-0.242088,-0.214668
-0.242053,-0.214704
-0.242017,-0.214739
-0.241982,-0.214774
-0.241947,-0.214809
-0.241913,-0.214844
-0.241878,-0.214878
-0.241844,-0.214912
-0.24181,-0.214947
-0.241776,-0.214981
-0.241742,-0.215014
-0.241708,-0.215048
-0.241675,-0.215082
-0.241641,-0.215115
