HF,UHF,MP2,UMP2,MP3,UMP3,MP4,UMP4,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CASSCF,CASPT2,SC-NEVPT2,FIC-NEVPT2,MRCI
-399.2234953791448,-399.2234954766736,-399.31321481418576,-399.31312676235933,-399.3257205285525,-399.32562429113176,-399.33232303274815,-399.3322395657655,-399.324881657311,-399.324839934072,-399.3308393412236,-399.330751496638,-399.332085274,-399.332081118,-399.33508269566926,-399.33508229843153,-399.3322177,-399.332209213,-399.33514627699685,-399.3351440029159,-399.2862283078283,-399.330383565456,-399.329999500877,-399.330088292649,-399.333174968838
-399.22377701938433,-399.2237770193865,-399.3132169001938,-399.31321690020087,-399.3256969888437,-399.32569698882793,-399.33228295481234,-399.3322829547961,-399.3249117991392,-399.32491182477776,-399.33087736538306,-399.330877442448,-399.332123123,-399.332123675,-399.335059502452,-399.33506012396487,-399.332253479,-399.332253288,-399.33512222504544,-399.33512193033033,-399.28653153703215,-399.330414677033,-399.330033104045,-399.330115335172,-399.333131992962
-399.22403249451753,-399.2240324945215,-399.3132048856025,-399.31320488561744,-399.3256608017789,-399.32566080161655,-399.3322315610986,-399.3322315609281,-399.3249282075648,-399.32492823335366,-399.33090158574817,-399.33090166913024,-399.332147906,-399.332148433,-399.3350255635064,-399.33502613659806,-399.332275607,-399.332276209,-399.3350866351366,-399.3350872831454,-399.28680761443667,-399.330433292727,-399.330055927245,-399.330132206601,-399.333156700442
-399.2242645026724,-399.2242645026778,-399.31318083666,-399.31318083664735,-399.32561395948903,-399.32561395937216,-399.3321707572596,-399.33217075713736,-399.3249328510272,-399.3249328719264,-399.3309139111309,-399.330914001388,-399.332161411,-399.332161915,-399.3349826371481,-399.33498316833976,-399.33228746,-399.332288024,-399.33504314674127,-399.3350437379388,-399.28705997388926,-399.330441156359,-399.330065875613,-399.330136910137,-399.333128257805
-399.2244754268699,-399.2244754268696,-399.3131466043358,-399.31314660430144,-399.32555824053384,-399.32555824048984,-399.33210224094216,-399.3321022408959,-399.3249274749279,-399.3249274931184,-399.33091604138286,-399.33091613873734,-399.33216523,-399.332165713,-399.3349322803599,-399.3349327757596,-399.332289774,-399.332290305,-399.3349922962101,-399.33499283997446,-399.28728969802273,-399.330438859257,-399.330066544915,-399.330132473997,-399.333091884501
-399.2246673750346,-399.224667375032,-399.31310384645144,-399.31310384648623,-399.3254952324253,-399.32549523257615,-399.33202752378776,-399.33202752394936,-399.3249136304382,-399.32491363817167,-399.3309094931657,-399.33090959784346,-399.332160781,-399.332161247,-399.3348758766233,-399.334876341826,-399.332283953,-399.332284457,-399.3349354575309,-399.334935962374,-399.28749903458066,-399.330428345199,-399.330061038876,-399.330122343445,-399.333004026573
-399.22484221493943,-399.2248422149367,-399.3130540477416,-399.31305404786735,-399.32542635260813,-399.3254263529845,-399.33194795203826,-399.33194795244,-399.32489269646686,-399.32489271122887,-399.330895620542,-399.33089573255455,-399.332149335,-399.332149784,-399.33481465531713,-399.3348150953181,-399.332271254,-399.332271734,-399.3348738519842,-399.3348743254214,-399.2876899899364,-399.330411367521,-399.330044315617,-399.330102429599,-399.332988234484
-399.2250016046194,-399.2250016046064,-399.3129985367919,-399.31299853685186,-399.3253528647673,-399.3253528648514,-399.33186472241766,-399.33186472250736,-399.3248658978136,-399.324865937942,-399.3308756312338,-399.33087574982306,-399.332132023,-399.332132459,-399.33474970726786,-399.3347501264661,-399.332252796,-399.332251924,-399.3348085635908,-399.33480776254333,-399.28786395237506,-399.33038819764,-399.330024672697,-399.33007892754,-399.332853118682
-399.2251470187824,-399.2251470187735,-399.31293849809737,-399.31293849814944,-399.32527589026256,-399.325275890344,-399.33177889308814,-399.3317788931743,-399.3248343197766,-399.3248343582276,-399.33085059815613,-399.3308507234104,-399.332109856,-399.332109014,-399.3346819980226,-399.334681240172,-399.332229581,-399.332228725,-399.3347405521909,-399.33473977852793,-399.2880224861452,-399.330328830257,-399.329999100229,-399.33004941078,-399.332874388274
-399.2252797718601,-399.22527977186496,-399.3128749848608,-399.3128749850909,-399.32519642292897,-399.3251964233752,-399.33169139830807,-399.3316913987832,-399.32479891516925,-399.32479895695866,-399.3308214749422,-399.3308216068808,-399.332083734,-399.332082903,-399.334612379663,-399.33461164184234,-399.332202499,-399.332201657,-399.33467066520313,-399.33466991315674,-399.2881661709285,-399.330297044109,-399.329969899987,-399.3300165741,-399.332764212512
-399.225401037958,-399.22540103795274,-399.3128089316764,-399.31280893187653,-399.3251153400568,-399.3251153404021,-399.3316030591541,-399.3316030595195,-399.3247605487224,-399.32476058452096,-399.3307891074389,-399.330789244998,-399.332054456,-399.332053634,-399.3345416018447,-399.33454088027634,-399.332171231,-399.332171511,-399.33459875134594,-399.3345989131993,-399.2882978324825,-399.33025881366,-399.329935603573,-399.329978745122,-399.332759468428
-399.2255118679892,-399.22551186805754,-399.3127411609636,-399.3127411614186,-399.32503340897694,-399.3250334097056,-399.3315145897423,-399.3315145904993,-399.32471995652713,-399.3247199839996,-399.3307542399664,-399.3307543829901,-399.332021609,-399.332021917,-399.3344694169824,-399.33446961193175,-399.332138726,-399.33213899,-399.3345272854274,-399.3345274321984,-399.2884154650982,-399.330220587143,-399.329899556425,-399.329939640647,-399.332646110767
-399.225613205064,-399.2256132051408,-399.31267239470907,-399.31267239518206,-399.324951300262,-399.3249513010514,-399.3314266104285,-399.3314266112488,-399.324677790913,-399.32467782068306,-399.3307175276781,-399.3307176751512,-399.331988084,-399.331988376,-399.33439822650575,-399.33439840707433,-399.332104462,-399.332104713,-399.3344559026388,-399.3344560380113,-399.28852347727326,-399.330182371218,-399.32986508113,-399.329902252904,-399.332583549904
-399.2257058970931,-399.2257058970922,-399.3126032622089,-399.31260326233235,-399.32486959437045,-399.32486959455855,-399.3313396542624,-399.3313396544589,-399.3246346207736,-399.324634648306,-399.33067954367215,-399.33067969411496,-399.331953281,-399.33195356,-399.3343275895948,-399.3343277585998,-399.332068982,-399.332069222,-399.33438509462496,-399.3343852215618,-399.28862431124054,-399.330136930666,-399.329829915302,-399.329864291657,-399.332538625769
-399.22579070797866,-399.2257907079705,-399.31253430685535,-399.3125343069789,-399.32478878691495,-399.3247887871159,-399.3312541720396,-399.3312541722514,-399.32459093803766,-399.32459094201,-399.3306407840468,-399.3306409371885,-399.331917679,-399.331917945,-399.3342579279633,-399.33425808775706,-399.332032762,-399.332032993,-399.334315281626,-399.3343154024417,-399.28870987397767,-399.33009859773,-399.329788613784,-399.329820586018,-399.332449360912
-399.22586832775136,-399.22586832773857,-399.3124659957581,-399.3124659958805,-399.32470930122565,-399.3247093014322,-399.33117054489753,-399.3311705451157,-399.32454716649954,-399.3245471603535,-399.3306016792971,-399.33060183422583,-399.331881693,-399.331881948,-399.33418959919857,-399.3341897516244,-399.331996213,-399.331996437,-399.3342468198695,-399.3342469363636,-399.28879510957023,-399.3300522757,-399.329751566376,-399.329781070331,-399.332390930341
-399.2259393806973,-399.22593938067695,-399.31239872466296,-399.3123987248189,-399.32463149135646,-399.32463149160634,-399.3310890870952,-399.33108908735767,-399.32450366676574,-399.3245036596128,-399.3305625970031,-399.33056188283206,-399.331845679,-399.331845924,-399.3341229011708,-399.3341230477397,-399.331959688,-399.331959905,-399.3341800060752,-399.3341801196663,-399.2888670856413,-399.330004770289,-399.329710534752,-399.329737933755,-399.332335931024
-399.226004432722,-399.226004432697,-399.31233282584,-399.31233282600806,-399.3245556504564,-399.3245556507183,-399.33101005430086,-399.3310100545763,-399.3244607322079,-399.32446074505646,-399.33052384978714,-399.3305231418729,-399.331809942,-399.331810178,-399.3340580792857,-399.3340582211839,-399.331923489,-399.3319237,-399.33411508463166,-399.3341151963783,-399.288933685706,-399.329963565708,-399.32967358026,-399.329698987378,-399.332261443495
-399.2260639976888,-399.2260639976613,-399.3122685714607,-399.3122685716467,-399.32448201431606,-399.3244820146028,-399.3309336469835,-399.3309336472855,-399.3244186399877,-399.324418616858,-399.330485698022,-399.33048499758974,-399.331774736,-399.331774964,-399.3339953288478,-399.33399546702327,-399.331887867,-399.331888073,-399.33405224995056,-399.3340523606439,-399.28899435413126,-399.329923609909,-399.329633643935,-399.32965844155,-399.332196948177
-399.22611854289846,-399.2261185428685,-399.312206181871,-399.31220618206527,-399.32441076858095,-399.32441076886886,-399.3308600174788,-399.33086001778514,-399.3243775841901,-399.32437757337107,-399.3304483565781,-399.33044766463433,-399.331740271,-399.331740493,-399.3339348015724,-399.3339349367221,-399.33185303,-399.331853232,-399.3339916528912,-399.333991763072,-399.2890486443536,-399.32988256416,-399.329596247345,-399.329619241804,-399.332100194579
-399.2261684938858,-399.22616849385446,-399.31214582864226,-399.31214582874617,-399.32434205279213,-399.3243420529852,-399.33078927390176,-399.3307892741082,-399.32433772959064,-399.32433768560713,-399.330411998312,-399.3304113155432,-399.331706719,-399.331706933,-399.3338766085959,-399.33387674125447,-399.331819146,-399.331819343,-399.333933403758,-399.33393351379215,-399.28909727432045,-399.329842161906,-399.329559711505,-399.32958148213,-399.332113144271
-399.22621423859033,-399.22621423855645,-399.3120876391332,-399.31208763927617,-399.3242759642534,-399.32427596447224,-399.3307214838156,-399.3307214840479,-399.32429920256953,-399.3242991255972,-399.33037675716895,-399.3303760843121,-399.33167421,-399.331674418,-399.33382082408974,-399.33382095465726,-399.331786344,-399.331786537,-399.3338775759954,-399.3338776860813,-399.2891410395438,-399.329803370319,-399.329522534324,-399.329544072621,-399.332061894583
-399.2262561310058,-399.22625613097176,-399.3120317015128,-399.31203170166,-399.3242125631035,-399.3242125633183,-399.3306566791956,-399.33065667942606,-399.32426209536686,-399.32426201919617,-399.33034273320715,-399.3303420706203,-399.331642844,-399.331643046,-399.3337674891725,-399.3337676179333,-399.331754721,-399.331754911,-399.3338242099228,-399.333824320175,-399.2891803358973,-399.329765327616,-399.329488364397,-399.329508411647,-399.33199223298
-399.2262944944168,-399.22629449437784,-399.31197806724896,-399.3119780673944,-399.3241518746879,-399.32415187488806,-399.3305948586405,-399.3305948588564,-399.3242264678028,-399.32422639401926,-399.33030889223215,-399.3303093413911,-399.331612688,-399.331612884,-399.3337166134604,-399.333716740577,-399.331724342,-399.331724527,-399.3337733143911,-399.3337734247793,-399.28921552382013,-399.329729034686,-399.32945698192,-399.32947505922,-399.331964261562
-399.2263296242288,-399.2263296241843,-399.3119267561954,-399.3119267563486,-399.32409389449265,-399.3240938946826,-399.3305359921748,-399.3305359923808,-399.3241923523001,-399.3241922811616,-399.3302775025925,-399.3302779358754,-399.33158378,-399.33158397,-399.333668179861,-399.33366830542224,-399.331695243,-399.331695424,-399.3337248715689,-399.33372498201646,-399.28924255963574,-399.329690381997,-399.329426925934,-399.329443757141,-399.331915525781
-399.22636179051455,-399.22636179047424,-399.311877759136,-399.3118777592176,-399.32403859010526,-399.32403859019865,-399.33048002312296,-399.3304800232266,-399.324159755537,-399.3241597322192,-399.3302474479272,-399.33024786720193,-399.331556133,-399.331556318,-399.3336221462986,-399.3336222703153,-399.331667434,-399.331667611,-399.3336788386052,-399.3336789489393,-399.28927522735466,-399.329645885706,-399.329395008637,-399.329410453809,-399.331860803342
-399.22639124029786,-399.2263912402561,-399.31183104108095,-399.3118310411384,-399.32398590515334,-399.32398590519944,-399.3304268719487,-399.3304268720024,-399.3241286615672,-399.32412837848153,-399.3302187184773,-399.33021912563464,-399.331529738,-399.331529918,-399.3335784485597,-399.3335785710013,-399.331640904,-399.331641077,-399.33363515050087,-399.33363526053233,-399.28929751504666,-399.329607894814,-399.329361633173,-399.329375951363,-399.331829209563
