c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.16559664,0.16559825,0.88623342,0.0678716,0.06787251,0.86425589,0.08166997,0.08167087,0.83665916,0.03495053,0.03495121,0.93009826,0.03263564,0.03263627,0.93472809
0.15023046,0.15022994,0.90373669,0.05746858,0.05746831,0.88506311,0.07016211,0.07016184,0.85967605,0.02782924,0.02782905,0.94434171,0.02618605,0.02618587,0.94762807
0.13527679,0.1352765,0.91931914,0.04812427,0.04812413,0.9037516,0.05971662,0.05971648,0.88056691,0.02190336,0.02190327,0.95619337,0.02075403,0.02075394,0.95849203
0.12107574,0.12107566,0.93293916,0.03991824,0.03991821,0.92016355,0.05041354,0.05041351,0.89917295,0.0170868,0.01708678,0.96582641,0.01629369,0.01629367,0.96741265
0.10789503,0.10789555,0.94462098,0.03286933,0.03286955,0.93426112,0.04228524,0.04228546,0.9154293,0.01325597,0.0132561,0.97348793,0.01271455,0.01271468,0.97457077
0.09586091,0.09586164,0.95450125,0.02691251,0.02691278,0.94617471,0.03528315,0.03528342,0.92943342,0.0102532,0.01025336,0.97949344,0.00988682,0.00988697,0.98022622
0.08500905,0.08500902,0.96277141,0.02193946,0.02193945,0.95612108,0.02931257,0.02931256,0.94137488,0.00792266,0.00792266,0.98415468,0.00767652,0.00767652,0.98464696
0.07531322,0.07531322,0.96963167,0.01782898,0.01782898,0.96434204,0.02426728,0.02426728,0.95146544,0.00612545,0.00612545,0.9877491,0.00596101,0.00596101,0.98807797
0.06669078,0.06669083,0.97530014,0.01444755,0.01444756,0.97110489,0.02001939,0.02001941,0.9599612,0.0047417,0.00474171,0.99051659,0.00463247,0.00463248,0.99073505
0.05906897,0.05906908,0.97994926,0.01168694,0.01168697,0.97662608,0.0164707,0.01647073,0.96705857,0.00367945,0.00367947,0.99264108,0.00360717,0.00360719,0.99278564
0.05234698,0.05234707,0.98374987,0.00944076,0.00944078,0.98111847,0.01351684,0.01351686,0.9729663,0.00286321,0.00286322,0.99427358,0.00281554,0.00281555,0.99436891
0.04643544,0.04643537,0.98684322,0.00762092,0.00762091,0.98475817,0.01107049,0.01107048,0.97785903,0.00223573,0.00223573,0.99552854,0.00220437,0.00220436,0.99559127
0.04124029,0.04124035,0.98935703,0.0061486,0.00614861,0.98770279,0.00904851,0.00904852,0.98190297,0.00175213,0.00175213,0.99649574,0.00173153,0.00173154,0.99653693
0.03667679,0.03667666,0.991396,0.00495942,0.0049594,0.99008118,0.00738197,0.00738195,0.98523608,0.0013784,0.00137839,0.99724321,0.0013649,0.00136489,0.99727021
0.03266923,0.03266926,0.99304769,0.00399989,0.0039999,0.99200021,0.00601117,0.00601117,0.98797766,0.00108877,0.00108877,0.99782246,0.00107994,0.00107994,0.99784012
0.02914142,0.02914142,0.99438436,0.00322598,0.00322598,0.99354804,0.0048869,0.0048869,0.9902262,0.00086314,0.00086314,0.99827372,0.00085737,0.00085737,0.99828526
0.02603454,0.02603444,0.99546574,0.00260183,0.00260181,0.99479636,0.00396592,0.00396591,0.99206816,0.00068682,0.00068681,0.99862637,0.00068305,0.00068305,0.9986339
