PBE0,wB97M-V,wB97M-D4rev,wB97X-V,wB97X-D4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97M-V,PBE,TPSS,BLYP,VWN3
-29.0881361599834385,-29.1301026860390735,-29.1641844219794812,-29.1245639137032093,-29.1586695122805146,-29.1432691578158831,-29.1346707383368191,-29.1332944453332807,-29.1477848491091898,-29.1564061604833533,-29.0941767879788635,-29.1103397715718479,-29.1114814777416235,-29.1123345229611026,-29.1864668460795791,-29.0841175106153038,-29.1622730384775046,-29.1449652527006329,-28.8775512816751281
-29.1197385572697378,-29.1609391884978812,-29.1950246002508571,-29.1561686700072258,-29.1902779557881225,-29.1741199082427620,-29.1659334216605366,-29.1648657911631126,-29.1796438601856600,-29.1881488473688115,-29.1255213679752565,-29.1424222409140405,-29.1436029545987516,-29.1444822803758008,-29.2183460740748515,-29.1154259840589980,-29.1939393420812117,-29.1760059838076948,-28.9084440500420179
-29.1467710383087031,-29.1872632738760238,-29.2213513188975860,-29.1832422829286244,-29.2173542111501341,-29.2005883385739899,-29.1926172512139566,-29.1918501946486337,-29.2069316856222763,-29.2153247493291168,-29.1523353215886765,-29.1699005355243237,-29.1711067142631713,-29.1720036618927132,-29.2454903692779382,-29.1421733924244428,-29.2210423537854318,-29.2024752714065237,-28.9347957488783969
-29.1698278531836230,-29.2096748834113988,-29.2437646895442391,-29.2063756654873714,-29.2404893908162755,-29.2232583036608595,-29.2153238202071570,-29.2148468187587618,-29.2302322192365089,-29.2385170178909881,-29.1751946385485788,-29.1933575572205761,-29.1945802061063624,-29.1954890694441893,-29.2685557742569600,-29.1649566870638459,-29.2441646419468348,-29.2249770644644222,-28.9572006628782539
-29.1894295071986356,-29.2286961335775644,-29.2627868279435610,-29.2260900129002437,-29.2602046533973983,-29.2425721177245173,-29.2345820505566216,-29.2343856179728228,-29.2500563757183336,-29.2582345710356329,-29.1946326169974419,-29.2133298356838189,-29.2145589889493742,-29.2154733002558409,-29.2881137405125180,-29.1842953166181509,-29.2638138695606109,-29.2440395537877826,-28.9761821895804594
-29.2060487224164298,-29.2448092424273405,-29.2789002647044079,-29.2428516413154505,-29.2769666088805920,-29.2589628173961884,-29.2508605206869916,-29.2509357453474692,-29.2668853779268829,-29.2749594710344567,-29.2111156141447452,-29.2302846444524320,-29.2315111314597971,-29.2324251620554350,-29.3046506309205199,-29.2006612430534034,-29.2804726331239422,-29.2601306140734962,-28.9922053959588126
-29.2200960207576692,-29.2584324044068183,-29.2925235925928966,-29.2570700335164986,-29.2911851487185402,-29.2726544477740518,-29.2645740320017538,-29.2649127205332746,-29.2811216297676182,-29.2890919229011786,-29.2250440698482308,-29.2446255380906095,-29.2458414012722514,-29.2467502390232070,-29.3186093282529470,-29.2144650039251772,-29.2945396168309742,-29.2736650015919864,-29.0056777558550536
-29.2319208410593170,-29.2699145059804451,-29.3040058126429734,-29.2690961403699959,-29.3032113134976662,-29.2842063149082499,-29.2760790154665749,-29.2766760016911611,-29.2931083521192726,-29.3009726984175494,-29.2367867182258117,-29.2567259789965526,-29.2579231099378738,-29.2588215860624352,-29.3303739157348460,-29.2260534651245187,-29.3063540026792246,-29.2849970473515064,-29.0169505320109700
-29.2418356285049725,-29.2795714271193930,-29.3136628485340935,-29.2792393504640707,-29.3133545203102770,-29.2939093675248969,-29.2856837923151403,-29.2865367034809125,-29.3031697152284210,-29.3109265958070608,-29.2466527309775586,-29.2668956162869520,-29.2680651631447404,-29.2689477209750279,-29.3402667753447375,-29.2357362431508534,-29.3162410166782195,-29.2944326283479555,-29.0263298927239717
-29.2501145539512137,-29.2876816251207615,-29.3217733712640012,-29.2877720604067804,-29.3218873716142383,-29.3018866438953793,-29.2936622719052409,-29.2947697786443797,-29.3115798223900299,-29.3192267205718267,-29.2549037885912568,-29.2753980192366967,-29.2765317317992100,-29.2773930452571349,-29.3485734495372306,-29.2437870220321088,-29.3244729670637696,-29.3022450278875937,-29.0340850781066351
-29.2569874464745538,-29.2944730704299587,-29.3285655153645521,-29.2949256625292911,-29.3290414315640575,-29.3085052852473922,-29.3002517547343331,-29.3016142182198749,-29.3185588756671862,-29.3260907234573267,-29.2617797464462726,-29.2824783897019856,-29.2835700023260728,-29.2844060613302872,-29.3555406260591063,-29.2504346302007718,-29.3312657544440967,-29.3086705469860647,-29.0404488049536056
-29.2626541702540273,-29.3001401446313920,-29.3342337432625975,-29.3008991567961594,-29.3350157609202817,-29.3140731343467529,-29.3056526021724331,-29.3072730198534934,-29.3243120943487519,-29.3317234435574470,-29.2674900858345488,-29.2883480195318917,-29.2893903868789032,-29.2901966135860370,-29.3613688317093384,-29.2558762816542419,-29.3368239283013672,-29.3139072490565447,-29.0456201616366521
-29.2672930764043855,-29.3048580482808845,-29.3389532623818425,-29.3058685904282150,-29.3399864020953416,-29.3185850190326320,-29.3100393624878137,-29.3119222625461049,-29.3290284574689153,-29.3363145009866813,-29.2721923518172034,-29.2931680480127525,-29.2941552414767017,-29.2949276925409521,-29.3662293618161740,-29.2602887885713443,-29.3413372974110445,-29.3181281968684786,-29.0497720042675240
-29.2710562555759211,-29.3087790474967598,-29.3428764107629334,-29.3099852505442122,-29.3441047064014242,-29.3221997775916918,-29.3135673633440987,-29.3157176734513669,-29.3328564785051213,-29.3400114746547445,-29.2760370640752612,-29.2970879523427712,-29.2980129421601561,-29.2987469935903206,-29.3702621412428329,-29.2638242917274383,-29.3449525662926263,-29.3214884687763444,-29.0530562520676838
-29.2740723295022285,-29.3120229937188732,-29.3461231615914961,-29.3133774566771095,-29.3474991146485173,-29.3251504179560349,-29.3163701586133563,-29.3187934644701933,-29.3359219640381674,-29.3429396930644053,-29.2791670720815027,-29.3002542039871052,-29.3011116066755726,-29.3018037600424286,-29.3735886764240846,-29.2666109054295625,-29.3477945614448039,-29.3241210456549730,-29.0556046376911929
-29.2764546044197509,-29.3146940924911235,-29.3487977307785748,-29.3161565043080437,-29.3502809153886126,-29.3275315149561813,-29.3185602404615473,-29.3212628973856972,-29.3383459046253812,-29.3452213417389594,-29.2816958159429710,-29.3027818787582710,-29.3035661639171998,-29.3042128639223698,-29.3763090957195807,-29.2687607625775463,-29.3499861214743056,-29.3261374246877686,-29.0575295297024887
-29.2783034330350951,-29.3168871528801773,-29.3509949343679288,-29.3184198712725070,-29.3525475797506878,-29.3293629719547759,-29.3202354755775936,-29.3232237746893141,-29.3402367969776954,-29.3469664515362290,-29.2837105828029003,-29.3047593381011247,-29.3054643906299042,-29.3060615720064455,-29.3785067336278480,-29.2703739471894231,-29.3516380388747073,-29.3276352257522284,-29.0589275550443880
-29.2797035718650029,-29.3186838042193045,-29.3527964112005399,-29.3202503129006224,-29.3543818732685544,-29.3307334025754010,-29.3214827349030465,-29.3247622247196595,-29.3416774887741560,-29.3482583365088949,-29.2852972878906606,-29.3062717052912625,-29.3068902780056781,-29.3074331254843408,-29.3802488182543158,-29.2715359407699545,-29.3528338232831452,-29.3287019004000662,-29.0598832595841081
-29.2807273505284797,-29.3201466219648736,-29.3542647478294185,-29.3217185245967400,-29.3558545167429656,-29.3317711003917054,-29.3223772571620600,-29.3259525885687822,-29.3427386874423703,-29.3491684017931291,-29.2865362891597982,-29.3074034961328280,-29.3079303794139392,-29.3084154401621291,-29.3816012974665526,-29.2723197210547497,-29.3536453383573601,-29.3294133673401873,-29.0604707596109080
-29.2814386478332516,-29.3213303112369772,-29.3554547222417277,-29.3228859989194390,-29.3570270818580177,-29.3325406496972541,-29.3229825684540550,-29.3268573247932558,-29.3434885285249258,-29.3497665093269511,-29.2874945681156085,-29.3082235816983179,-29.3086540820871484,-29.3090782544337181,-29.3826216484440259,-29.2727895404462579,-29.3541436644722715,-29.3298337460849616,-29.0607536979658967
-29.2818938307920043,-29.3222848741380737,-29.3564163235268971,-29.3238063155450241,-29.3579531542206276,-29.3330560632093658,-29.3233527057555357,-29.3275290713905399,-29.3439891840018028,-29.3501167563308378,-29.2882142975720008,-29.3087764040401062,-29.3091061794294951,-29.3094664932472462,-29.3833591409317272,-29.2730024098446755,-29.3543941970981130,-29.3300178946671828,-29.0607858515304365
-29.2821400372482330,-29.3230530678990391,-29.3571922610080378,-29.3245239454326949,-29.3586771842412375,-29.3333737638327463,-29.3235343859558029,-29.3280130030403967,-29.3442872244273474,-29.3502664650169365,-29.2887414334549732,-29.3091077361660624,-29.3093315191219546,-29.3096243647696895,-29.3838522847323063,-29.2730064962413081,-29.3544448205363366,-29.3300135986070316,-29.0606130086502077
-29.2822159522209304,-29.3236673760758926,-29.3578149827617594,-29.3250756307840383,-29.3592359192042522,-29.3335655855868538,-29.3235674071482748,-29.3283475391013084,-29.3444187244684969,-29.3502521064777113,-29.2891180997606284,-29.3092627710173659,-29.3093763124677338,-29.3095987615301610,-29.3841380474457559,-29.2728413955046847,-29.3543323286861266,-29.3298616120310740,-29.0602748043741528
-29.2821550389531353,-29.3241537812809447,-29.3583104516935265,-29.3254926946273322,-29.3596606900613750,-29.3337127803168300,-29.3234850534307370,-29.3285646124024808,-29.3444175347746850,-29.3501083643506959,-29.2893816542543632,-29.3092836111800139,-29.3092841637191555,-29.3094342032335646,-29.3842523351081937,-29.2725412144456598,-29.3540920824655345,-29.3295959862712650,-29.0598056993767742
-29.2819867682084158,-29.3245356721417565,-29.3587020396229015,-29.3258025237077327,-29.3599788956487480,-29.3338225314781944,-29.3233150647737411,-29.3286904163199047,-29.3443156918449084,-29.3498683928479558,-29.2895499850757055,-29.3091927078543115,-29.3090787963563706,-29.3091551665946035,-29.3842298105340198,-29.2721361043701798,-29.3537580440308510,-29.3292452248526310,-29.0592351876979968
-29.2817364881740190,-29.3248329999680521,-29.3590097153834506,-29.3260279074276191,-29.3602133675213324,-29.3338974759271238,-29.3230805447453591,-29.3287464584489896,-29.3441394434623604,-29.3495590544954510,-29.2896421837405114,-29.3090116311948776,-29.3087815657309960,-29.3087827342277762,-29.3841005876585939,-29.2716522658462068,-29.3533574804000210,-29.3288332550991271,-29.0585878143730696
-29.2814239620930827,-29.3250624316285204,-29.3592501092963865,-29.3261864943099511,-29.3603817380419763,-29.3339271252553040,-29.3228004136764646,-29.3287503196847474,-29.3439063028243048,-29.3491979164946635,-29.2896771599130226,-29.3087618481993495,-29.3084139396158569,-29.3083383135666260,-29.3838855677810606,-29.2711103104707568,-29.3529080124482711,-29.3283797303142997,-29.0578837797954783
-29.2810648426869058,-29.3252357545225344,-29.3594349516201198,-29.3262922056870075,-29.3604978882759475,-29.3339166762116044,-29.3224896959528074,-29.3287160424592308,-29.3436304345488104,-29.3487992280539522,-29.2896690947496943,-29.3084628082979712,-29.3079968709853809,-29.3078438016434326,-29.3836057709329381,-29.2705264581959277,-29.3524240098045688,-29.3279001780389770,-29.0571399373603860
-29.2806723223445644,-29.3253620830375468,-29.3595733231212535,-29.3263564420189944,-29.3605731909108272,-29.3338722456582346,-29.3221603243182045,-29.3286547250672172,-29.3433243957229379,-29.3483756269755034,-29.2896298287710337,-29.3081309743420135,-29.3075480415253438,-29.3073176287019521,-29.3832863266835531,-29.2699143183245170,-29.3519181995353051,-29.3274069134259108,-29.0563706105028032
-29.2802579072563489,-29.3254495943025901,-29.3596733735583939,-29.3263891309731477,-29.3606175477030931,-29.3337883174939549,-29.3218219485283313,-29.3285751146756368,-29.3429992586380735,-29.3479381565632806,-29.2895620308952687,-29.3077728599475904,-29.3070750138173111,-29.3067679848838409,-29.3829533005968706,-29.2692858815396448,-29.3514016309581578,-29.3269100083826117,-29.0555879766319478
-29.2798318111722615,-29.3255065790360305,-29.3597433713176734,-29.3263986959525234,-29.3606393516163102,-29.3336794055296899,-29.3214825584358216,-29.3284842259687117,-29.3426646808300156,-29.3474965263425993,-29.2894729866728945,-29.3073974558124597,-29.3065867356496774,-29.3062037165209723,-29.3826218315032541,-29.2686520405958142,-29.3508840625324474,-29.3264179924869417,-29.0548022360677720
-29.2794018513419374,-29.3255410317651126,-29.3597913054511181,-29.3263912934861537,-29.3606447446213608,-29.3335483780830586,-29.3211484743644348,-29.3283875610792322,-29.3423271298773045,-29.3470572670805652,-29.2893683485410889,-29.3070125323981898,-29.3060913297417827,-29.3056331557805336,-29.3822931866278552,-29.2680213314534328,-29.3503721112472604,-29.3259377077438828,-29.0540215677370384
-29.2789735678868723,-29.3255582454312744,-29.3598224663789651,-29.3263711828777609,-29.3606379846119339,-29.3334011901024923,-29.3208240879554083,-29.3282890465166162,-29.3419903798335397,-29.3466240073001714,-29.2892516734139718,-29.3066245329226476,-29.3055961302744805,-29.3050642460392297,-29.3819710782470800,-29.2673997582359746,-29.3498693761892113,-29.3254738564505644,-29.0532522225713237
-29.2785512293649006,-29.3255609986938168,-29.3598395916673454,-29.3263413777507793,-29.3606220380339309,-29.3332486368528649,-29.3205122194071635,-29.3281913465361299,-29.3416568296073166,-29.3461987367777439,-29.2891272523886670,-29.3062405304406965,-29.3051092072659500,-29.3045057575431187,-29.3816653752813650,-29.2667918170908834,-29.3493776182871855,-29.3250294014971260,-29.0524989395099986
-29.2781380853965878,-29.3255515100068571,-29.3598448569802066,-29.3263042541656205,-29.3605992321626950,-29.3330838381831960,-29.3202146976864277,-29.3280962686147113,-29.3413284631837890,-29.3457830481689577,-29.2889942281986855,-29.3058614555153305,-29.3046321715907219,-29.3039598095943354,-29.3813822087837053,-29.2662008983665949,-29.3488982238398854,-29.3246062053796983,-29.0517654390887046
-29.2777369805975312,-29.3255319389812179,-29.3598403816284588,-29.3262620880605738,-29.3605718013153236,-29.3329134869118278,-29.3199327907420297,-29.3280050656396014,-29.3410077959253570,-29.3453793347655818,-29.2888545609410187,-29.3054890597359012,-29.3041667707125342,-29.3034282215604023,-29.3811196037127615,-29.2656299980376851,-29.3484335483129186,-29.3242055813145654,-29.0510547048711487
-29.2773504333614163,-29.3255050008578237,-29.3598288388429296,-29.3262168799873777,-29.3605417060649714,-29.3327391608188002,-29.3196674833554169,-29.3279187016787724,-29.3406976707181570,-29.3449906053540985,-29.2887115947614163,-29.3051262118552387,-29.3037156482620418,-29.3029135850105753,-29.3808705193559305,-29.2650818683594522,-29.3479867556046976,-29.3238286037255129,-29.0503690811767967
-29.2769801269494394,-29.3254733630120938,-29.3598128509921494,-29.3261699796897304,-29.3605102542082790,-29.3325622318335419,-29.3194194636531691,-29.3278378988268287,-29.3403990912857751,-29.3446178476399169,-29.2885672706166247,-29.3047748082834190,-29.3032807045563715,-29.3024179077860794,-29.3806336867774540,-29.2645584327484016,-29.3475588693040592,-29.3234760408100996,-29.0497103487126438
-29.2766270629750451,-29.3254386029372007,-29.3597939585132011,-29.3261221355097028,-29.3604781538606900,-29.3323856114331072,-29.3191889079621610,-29.3277629996842819,-29.3401116513353521,-29.3442603229441197,-29.2884232814295729,-29.3044368957694736,-29.3028641885565158,-29.3019436615636124,-29.3804159600339077,-29.2640607824311374,-29.3471489762362800,-29.3231480500303938,-29.0490796995489724
-29.2762918434944233,-29.3254014596954384,-29.3597728952621324,-29.3260735562613313,-29.3604455949702654,-29.3322122151263187,-29.3189754710650128,-29.3276939956388745,-29.3398354862801725,-29.3439179018949652,-29.2882819669738623,-29.3041151922716772,-29.3024690351910628,-29.3014939990217833,-29.3802231091966526,-29.2635894556385630,-29.3467567959316256,-29.3228441495738004,-29.0484776669201459
-29.2759744987595170,-29.3253622738963955,-29.3597499810512126,-29.3260241788752012,-29.3604124840048861,-29.3320354758429112,-29.3187784262475333,-29.3276306345243434,-29.3395709964321121,-29.3435908202431825,-29.2881419722026450,-29.3038083304777963,-29.3020940522814115,-29.3010679149463478,-29.3800550114069843,-29.2631443074454971,-29.3463825157109319,-29.3225633812453133,-29.0479042256329656
-29.2756747629502136,-29.3253209027590422,-29.3597250312679066,-29.3259741544344372,-29.3603789274392284,-29.3318610617723685,-29.3185968238630110,-29.3275725012376540,-29.3393186102265133,-29.3432795175570931,-29.2880045285452972,-29.3035159918383776,-29.3017385732611224,-29.3006645835541946,-29.3799071103313629,-29.2627248142854093,-29.3460265635769026,-29.3223045060634249,-29.0473590211301520
-29.2753924044597298,-29.3252772664619208,-29.3596979232218445,-29.3259239879864779,-29.3603453890840029,-29.3316936136751210,-29.3184297271148040,-29.3275191759506590,-29.3390791087688569,-29.3429848374997135,-29.2878717420197461,-29.3032390561818765,-29.3014029786819599,-29.3002841988193907,-29.3797740289822968,-29.2623304898518590,-29.3456898879789705,-29.3220663036483806,-29.0468415546124206
-29.2751271421660064,-29.3252314268489869,-29.3596686793151633,-29.3258742426529615,-29.3603123911644772,-29.3315362226105663,-29.3182763284152372,-29.3274703366226746,-29.3388523254523435,-29.3427065121527875,-29.2877445885955368,-29.3029779892950160,-29.3010873754845491,-29.2999266976734489,-29.3796553051887770,-29.2619608382944278,-29.3453721688917213,-29.3218477135432352,-29.0463512468609224
-29.2748785093768333,-29.3251836142290934,-29.3596374988421402,-29.3258252387096228,-29.3602802135943861,-29.3313906088173475,-29.3181358898466229,-29.3274257233920217,-29.3386371594968551,-29.3424431062623015,-29.2876235696433440,-29.3027336062253951,-29.3007923230077019,-29.2995924588591805,-29.3795531091988806,-29.2616151656670525,-29.3450717602013178,-29.3216477489508520,-29.0458874530427522
-29.2746459762687330,-29.3251341822694442,-29.3596047054838856,-29.3257770208187232,-29.3602488627782208,-29.3312583235011921,-29.3180076615851135,-29.3273850632625788,-29.3384330987889399,-29.3421938415897223,-29.2875086333658992,-29.3025069870654633,-29.3005189783242734,-29.2992826450005523,-29.3794668885541910,-29.2612926601073582,-29.3447877038713827,-29.3214653911544616,-29.0454494720717840
-29.2744290783529202,-29.3250837166017639,-29.3595708490865306,-29.3257294553592409,-29.3602181685211576,-29.3311382438492600,-29.3178909304781286,-29.3273481057720637,-29.3382404279858271,-29.3419589189791452,-29.2873999114618648,-29.3022985242517784,-29.3002678849514062,-29.2989979001735463,-29.3793927774456236,-29.2609925544495475,-29.3445201516498173,-29.3212996560437738,-29.0450365609742178
-29.2742272530035770,-29.3250328418534885,-29.3595365273518212,-29.3256822016702863,-29.3601877608609954,-29.3310263485466507,-29.3177850154899993,-29.3273146398740892,-29.3380595964295701,-29.3417388059261981,-29.2872966101884593,-29.3021061928368241,-29.3000370458245634,-29.2987362633845017,-29.3793259209001434,-29.2607139751450411,-29.3442695835502718,-29.3211495823147672,-29.0446478788586298
-29.2740397146387323,-29.3249818846568537,-29.3595020567964369,-29.3256348702604761,-29.3601572316528419,-29.3309238357650521,-29.3176891311294696,-29.3272843900120463,-29.3378907761586376,-29.3415336849014601,-29.2871993995953090,-29.3019294919429996,-29.2998253497043706,-29.2984963628870361,-29.3792622670805947,-29.2604557928593927,-29.3440361954015110,-29.3210140898230094,-29.0442824092631540
-29.2738656045801982,-29.3249309174130239,-29.3594674876778257,-29.3255874366540041,-29.3601265283408814,-29.3308305888794081,-29.3176023695605679,-29.3272569850256453,-29.3377339983167857,-29.3413435926089221,-29.2871077355828220,-29.3017683436995569,-29.2996324612985397,-29.2982775633705153,-29.3791998312946454,-29.2602167022199495,-29.3438200204495381,-29.3208919228152247,-29.0439389846055569
-29.2737040662116286,-29.3248798698562751,-29.3594327244049573,-29.3255403294532329,-29.3600960520499115,-29.3307459400170565,-29.3175238077454416,-29.3272320282240493,-29.3375885828982277,-29.3411676584899368,-29.2870198709397869,-29.3016209888747170,-29.2994569925286505,-29.2980786153009696,-29.3791399767162709,-29.2599954624700942,-29.3436200727147600,-29.3207818143340546,-29.0436163956939311
