occ1,ene1,occ2,ene2,20,02
1.0029,-0.18801,0.9971,-0.186974,0.708123005,0.706089095
1.0027,-0.187969,0.9973,-0.187014,0.70804433,0.706167988
1.0024,-0.187931,0.9976,-0.187052,0.707971624,0.706240879
1.0023,-0.187897,0.9977,-0.187086,0.707904445,0.706308217
1.0021,-0.187865,0.9979,-0.187118,0.707842378,0.706370418
1.0019,-0.187835,0.9981,-0.187148,0.707785044,0.706427867
1.0018,-0.187808,0.9982,-0.187175,0.707732088,0.706480921
1.0016,-0.187783,0.9984,-0.1872,0.707683183,0.70652991
1.0015,-0.18776,0.9985,-0.187223,0.707638023,0.70657514
1.0014,-0.187738,0.9986,-0.187244,0.707596329,0.706616894
1.0013,-0.187719,0.9987,-0.187264,0.707557838,0.706655436
1.0012,-0.187701,0.9988,-0.187282,0.70752231,0.706691008
1.0011,-0.187684,0.9989,-0.187299,0.707489521,0.706723834
1.001,-0.187668,0.999,-0.187314,0.707459264,0.706754123
1.0009,-0.187654,0.9991,-0.187328,0.707431346,0.706782068
1.0008,-0.187641,0.9992,-0.187341,0.70740559,0.706807846
1.0008,-0.187629,0.9992,-0.187354,0.707381832,0.706831623
1.0007,-0.187618,0.9993,-0.187365,0.70735992,0.706853551
1.0007,-0.187608,0.9993,-0.187375,0.707339721,0.706873764
1.0006,-0.187598,0.9994,-0.187384,0.707321089,0.706892408
1.0006,-0.18759,0.9994,-0.187393,0.707303911,0.706909596
1.0005,-0.187582,0.9995,-0.187401,0.707288077,0.706925439
1.0005,-0.187574,0.9995,-0.187408,0.707273481,0.706940042
1.0004,-0.187568,0.9996,-0.187415,0.707260031,0.706953498
1.0004,-0.187561,0.9996,-0.187421,0.707247637,0.706965897
1.0004,-0.187556,0.9996,-0.187427,0.707236218,0.706977321
1.0003,-0.18755,0.9997,-0.187432,0.707225699,0.706987843
1.0003,-0.187545,0.9997,-0.187437,0.70721601,0.706997535
1.0003,-0.187541,0.9997,-0.187441,0.707207088,0.70700646
1.0003,-0.187536,0.9997,-0.187445,0.70719899,0.70701456
1.0002,-0.187533,0.9998,-0.187449,0.707191422,0.70702213
1.0002,-0.187529,0.9998,-0.187452,0.707184456,0.707029098
1.0002,-0.187526,0.9998,-0.187455,0.707178044,0.707035511
1.0002,-0.187523,0.9998,-0.187458,0.707172143,0.707041413
1.0002,-0.18752,0.9998,-0.187461,0.707166714,0.707046843
1.0002,-0.187518,0.9998,-0.187463,0.70716172,0.707051838
1.0001,-0.187515,0.9999,-0.187466,0.707157127,0.707056432
1.0001,-0.187513,0.9999,-0.187468,0.707152903,0.707060656
1.0001,-0.187511,0.9999,-0.18747,0.70714902,0.707064539
1.0001,-0.18751,0.9999,-0.187472,0.707145377,0.707068184
1.0001,-0.187508,0.9999,-0.187474,0.707142101,0.707071459
1.0001,-0.187507,0.9999,-0.187475,0.707139092,0.707074469
1.0001,-0.187506,0.9999,-0.187477,0.707136329,0.707077232
1.0001,-0.187504,0.9999,-0.187478,0.707133792,0.707079769
1.0001,-0.187503,0.9999,-0.187479,0.707131463,0.707082098
1.0001,-0.187502,0.9999,-0.18748,0.707129326,0.707084235
1.0001,-0.187501,0.9999,-0.187481,0.707127366,0.707086196
1.0001,-0.1875,0.9999,-0.187482,0.707125568,0.707087993
1.0,-0.187499,1.0,-0.187483,0.70712392,0.707089642
