PBE0,wB97MV,wB97MD4rev,wB97XV,wB97XD4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97MV,PBE,TPSS,BLYP,VWN3,UPBE0,UPBE,B2PLYP,UB2PLYP
-199.2484259200116128,-199.3801968312598945,-199.4586475170945903,-199.3572629423581475,-199.4357174476486705,-199.3418829906615883,-199.3849563591645904,-199.3318757614914887,-199.3974506758531220,-199.4523979784500227,-199.3328581027729172,-199.3132796434247496,-199.3512675367211386,-199.3771205923387981,-199.3836878010576186,-199.2944088426522455,-199.4897229872547939,-199.4798950030756259,-198.5520545090365090,-199.339814180582,-199.330175309980,-199.383146477929,-199.425323318608
-199.2433569057373006,-199.3741070177428583,-199.4526085836460823,-199.3511862652188427,-199.4296917576263581,-199.3359085725641080,-199.3801105046730697,-199.3257997711385201,-199.3923338502180229,-199.4478783213435236,-199.3269513274728411,-199.3079591361002940,-199.3464986025014980,-199.3727177279252771,-199.3793381307101242,-199.2903427020389699,-199.4855992957701005,-199.4758746098695497,-198.5475611733697860,-199.339609311846,-199.329045180446,-199.381930062493,-199.425218769798
-199.2386628089231522,-199.3683762427343709,-199.4469259612362748,-199.3454695413434763,-199.4240232363308962,-199.3303563385954646,-199.3756217729325044,-199.3201183175854965,-199.3876061882728834,-199.4437302111962822,-199.3214087496751858,-199.3030332706458978,-199.3421089776486497,-199.3686832362285486,-199.3753516629734861,-199.2866152508960909,-199.4818350788644636,-199.4721805175520615,-198.5434444903819156,,-199.328132732514,-199.381230975781,-199.425147599270
-199.2343220146558451,-199.3629866644682807,-199.4415820027463155,-199.3400926008387728,-199.4186918885891373,-199.3252065383153422,-199.3714714720806001,-199.3148108636750635,-199.3832444831687667,-199.4399310349276107,-199.3162076430082834,-199.2984760745234212,-199.3380724084467488,-199.3649910325912629,-199.3717060022434566,-199.2832071801198595,-199.4784081776017501,-199.4687961967063075,-198.5396825040901945,,-199.327412433190,-199.381027235668,-199.425107871232
-199.2303042616094615,-199.3579084602251044,-199.4365471745647085,-199.3350268070638549,-199.4136693831228797,-199.3204063241323070,-199.3676318926484328,-199.3098515258304815,-199.3792156021751509,-199.4364457147501923,-199.3113173137713545,-199.2942573231349286,-199.3343577252704506,-199.3616094054165160,-199.3683611908919033,-199.2800867292949647,-199.4752821744319249,-199.4656934202247101,-198.5362426083052299,,-199.326842748977,-199.381290379387,
-199.2265752801946803,-199.3531076054751452,-199.4317877153051768,-199.3302402045968904,-199.4089240611136233,-199.3158927425692184,-199.3640703622123453,-199.3052118076457759,-199.3754824281253661,-199.4332340468986331,-199.3067033773734806,-199.2903451965636350,-199.3309316139585974,-199.3585039024938794,-199.3652709242890637,-199.2772160215705810,-199.4724147301866424,-199.4628372700844352,-198.5330862348381515,,-199.326374776342,-199.381987505612,
-199.2231025704081731,-199.3485586007447239,-199.4272782958834114,-199.3257028138519615,-199.4044261292600027,-199.3116197513509746,-199.3607549131710925,-199.3008640915002161,-199.3720106177156310,-199.4302591094314892,-199.3023339191822458,-199.2867054038548247,-199.3277574516334312,-199.3556365383562365,-199.3623944199990206,-199.2745591820606705,-199.4697671801708623,-199.4601933547647263,-198.5301757833431395,,-199.325965061081,-199.383084713305,
-199.2198598099803064,-199.3442423246394242,-199.4229998345593913,-199.3213925019381065,-199.4001534887341904,-199.3075666072767547,-199.3576591772970801,-199.2967845396635767,-199.3687728345853145,-199.4274925187897622,-199.2981855208252568,-199.2833098274086296,-199.3248052377733188,-199.3529760849289403,-199.3597097276727368,-199.2720885639811854,-199.4673105094332755,-199.4577340965401220,-198.5274806527823728,,-199.325583633822,-199.384550425709,
-199.2168282353404720,-199.3401434968001809,-199.4189369897840152,-199.3172967386111623,-199.3960935496852187,-199.3037390842745538,-199.3547643685527646,-199.2929542248492680,-199.3657502056467479,-199.4249160899699689,-199.2942435927335509,-199.2801394938896067,-199.3220561834438911,-199.3505038290565778,-199.3572081968748080,-199.2697865727196529,-199.4650271177352465,-199.4554413026128259,-198.5249795821493137,,,-199.386357206598,
-199.2139959084883003,-199.3362543553841988,-199.4150819278333984,-199.3134084116995268,-199.3922391247243411,-199.3001485344445882,-199.3520589608067723,-199.2893589489042654,-199.3629317153661304,-199.4225208822677757,-199.2905007404454523,-199.2771803259352339,-199.3194968291883811,-199.3482067099118069,-199.3548866933346631,-199.2676443740279524,-199.4629095858624339,-199.4533057305006878,-198.5226601060867324,,,-199.388482300566,-199.424999504206
-199.2113564170043389,-199.3325723809757903,-199.4114320833353986,-199.3097237013521124,-199.3885863549703288,-199.2967961752982546,-199.3495374901239927,-199.2859886589813527,-199.3603121810928940,-199.4203045438652282,-199.2869558549648445,-199.2744259093031474,-199.3171235423464225,-199.3460831083571634,-199.3527433407815863,-199.2656598821883165,-199.4609575487322957,-199.4513254011316121,-198.5205181933183951,-199.338986644310,,-199.390907378959,-199.424920647539
-199.2089075198827857,-199.3290965606738325,-199.4079864359725320,-199.3062413114182618,-199.3851339450437763,-199.2936663727662108,-199.3471992341767134,-199.2828367963327025,-199.3578896809088690,-199.4182681712541978,-199.2836114150854598,-199.2718755784325140,-199.3149393523445951,-199.3441386409132292,-199.3507793328825528,-199.2638359342049057,-199.4591741562234688,-199.4495038184544740,-198.5185556261525335,,-199.324291169225,-199.393617911235,-199.424826090270
-199.2066493849865765,-199.3258260637634010,-199.4047441675062942,-199.3029610022398401,-199.3818816680950761,-199.2907351544160406,-199.3450464102363355,-199.2798992278708283,-199.3556631314023946,-199.4164135452254527,-199.2804703988757069,-199.2695307298206728,-199.3129495375887643,-199.3423812725635855,-199.3489986405300272,-199.2621781538392156,-199.4575631016377031,-199.4478477623624144,-198.5167780373280948,,-199.323999187740,-199.396601969582,
-199.2045815029958078,-199.3227579906340736,-199.4017024085059404,-199.2998807675844546,-199.3788275502484737,-199.2879849759140996,-199.3430807506564406,-199.2771719822600573,-199.3536295849253008,-199.4147401148455572,-199.2775323132134702,-199.2673915650229333,-199.3111574549536442,-199.3408164576999866,-199.3474035044234540,-199.2606911057835646,-199.4561254373624308,-199.4463631389589011,-198.5151901100499288,,-199.323749939192,-199.399847763450,
-199.2027012285906267,-199.3198873309945327,-199.3988562423575104,-199.2969959397336481,-199.3759670254631544,-199.2854102681341999,-199.3413015272500388,-199.2746498166782203,-199.3517837125912422,-199.4132445248338570,-199.2747924845783132,-199.2654550150780324,-199.3095625386020515,-199.3394453890215345,-199.3459919811849090,-199.2593764640359382,-199.4548591627155361,-199.4450526352699740,-198.5137929239423613,,-199.323565631762,-199.403341824115,
